title,author,description
The Hobbit,J.R.R. Tolkien,A fantasy novel about a hobbit's adventure with dwarves and a dragon.
The Fellowship of the Ring,J.R.R. Tolkien,First book in the epic Lord of the Rings trilogy.
Dune,Frank Herbert,Sci-fi epic on desert planet Arrakis and political intrigue over spice.
Neuromancer,William Gibson,Cyberpunk classic about hacking, AI, and corporate power.
Pride and Prejudice,Jane Austen,A classic romance and social commentary in 19th-century England.
The Silmarillion,J.R.R. Tolkien,Foundational mythic histories of Middle-earth.
Foundation,Isaac Asimov,Science fiction series about psychohistory and the fall of an empire.
Ender's Game,Orson Scott Card,Young genius trained to command in an interstellar war.
1984,George Orwell,Dystopian novel about surveillance and totalitarianism.
Brave New World,Aldous Huxley,Dystopia exploring engineered societies and consumerism.
